start_idx,end_idx,avg_power,duration_sec,energy_kwh,cluster,appliance
33950,33980,36.67666666666694,1652.201,0.014321613694444577,0,AC
33980,34010,11.377777777778077,2127.93,0.0080832174722224,0,AC
34010,34055,41.732592592592894,1273.416,0.014810762101851956,0,AC
34055,34130,9.595555555555839,2264.739,0.006427223472222401,0,AC
34130,34190,40.34055555555586,1293.405,0.015408792138888995,0,AC
34190,34280,10.514814814815074,2281.369,0.007353923648148321,0,AC
34280,34350,39.274761904762165,1656.751,0.018269661935185318,0,AC
34350,34525,10.31295238095265,2960.978,0.008459045398148377,0,AC
34525,34630,38.03492063492094,1720.138,0.01819564090740755,0,AC
34630,34785,9.072043010752973,2828.128,0.008240121444444672,0,AC
34785,34855,40.9195238095241,1386.931,0.0161911977314816,0,AC
34855,35025,10.330392156863036,3015.37,0.009801668509259506,0,AC
35025,35135,40.08666666666696,1637.905,0.018410847888889022,0,AC
35135,35245,9.088787878788175,2237.006,0.0055977066574075945,0,AC
35245,35310,39.072307692307994,1301.736,0.013956461527777887,0,AC
35315,35330,162.05333333333365,212.074,0.010277814648148169,0,AC
35330,35360,177.5511111111114,432.558,0.022114106712962996,0,AC
35360,35375,14.915555555555839,390.773,0.0013460587407407702,0,AC
35375,35435,44.4250000000003,1190.717,0.014562949129629727,0,AC
35435,35495,54.10777777777808,895.287,0.013707965250000079,0,AC
35495,35735,10.386666666666951,7314.561,0.02395416222222279,0,AC
35735,35790,37.85393939393967,1324.878,0.014810274935185289,0,AC
35790,35935,9.381609195402598,2371.601,0.0061739111388890875,0,AC
35935,36020,38.90588235294148,1316.864,0.0144729425925927,0,AC
36020,36145,10.330933333333627,2418.123,0.007053894000000203,0,AC
36145,36210,38.97794871794901,1411.531,0.014735056805555672,0,AC
36210,36320,11.282727272727545,2488.745,0.008053000083333529,0,AC
36320,36390,41.596666666666955,1211.409,0.014837158722222321,0,AC
36390,36555,10.43292929292958,2717.989,0.007672607398148367,0,AC
36555,36645,38.702592592592886,1340.503,0.014503085546296408,0,AC
36645,36795,8.275555555555847,2997.848,0.00655733661111136,0,AC
36795,36895,37.7700000000003,1508.855,0.015909362944444574,0,AC
36895,37085,8.694736842105558,3255.327,0.0077337012314817495,0,AC
37085,37160,40.43466666666696,1338.69,0.015121376981481596,0,AC
37160,37280,10.109722222222505,3340.532,0.013364803194444755,0,AC
